alpha_snorna,alpha_disease,k_snorna,k_disease,association_weight,mean_auc,std_auc,mean_aupr,std_aupr
0.3,0.7,30,20,0.5,0.898224852071006,0.018621742625688373,0.8851605322693746,0.014946101807824054
0.3,0.7,30,20,0.8,0.8891847468770546,0.03252286501936342,0.8817461772438756,0.04498296286917188
0.3,0.7,30,20,1.0,0.9116452991452991,0.017046209160251975,0.9149611790007309,0.013332392394432917
0.3,0.7,30,30,0.5,0.9128616042077582,0.011300851689439846,0.9105317199774465,0.008355731765801183
0.3,0.7,30,30,0.8,0.8950361604207758,0.01988528689196222,0.8866370860629015,0.02873075953974642
0.3,0.7,30,30,1.0,0.8981919789612098,0.004028180119582798,0.8951885501761234,0.013897576471474894
0.5,0.3,10,10,0.5,0.8994658119658119,0.01756333763084922,0.8925245430918054,0.015960906070792348
0.5,0.3,10,10,0.8,0.9163379355687049,0.014905993468814575,0.9161657564697464,0.010813564067247
0.5,0.3,10,10,1.0,0.9069773175542407,0.013886175133343955,0.8991065767052445,0.015615950714396462
0.5,0.3,10,20,0.5,0.9250904010519395,0.00982680572861716,0.9167548591349794,0.015001520386188662
0.5,0.3,10,20,0.8,0.8961209730440501,0.021592419467037802,0.8785809793186754,0.03143271950063892
0.5,0.3,10,20,1.0,0.9163708086785011,0.01795954820722458,0.9157325067045455,0.01619582257688291
0.5,0.3,10,30,0.5,0.9097057856673242,0.014009899828985123,0.9060066524443304,0.013037718030748192
0.5,0.3,10,30,0.8,0.9101166995397765,0.01381938481286999,0.9022691396301514,0.02510938893336954
0.5,0.3,10,30,1.0,0.9119000657462196,0.01654972136845211,0.9173085460961674,0.01453843121035817
0.5,0.3,20,10,0.5,0.9175049309664693,0.014856240859843878,0.9130532191435137,0.02103879031469466
0.5,0.3,20,10,0.8,0.9149983563445101,0.012897632770955183,0.916416807848209,0.0100498136434428
0.5,0.3,20,10,1.0,0.9098372781065089,0.013313797167531019,0.9032613149524501,0.020354281398783047
0.5,0.3,20,20,0.5,0.9117110453648916,0.004627817039257316,0.9089653770115458,0.009029856504273497
0.5,0.3,20,20,0.8,0.9117357001972387,0.014633934763756214,0.9027950369461692,0.020792182361307296
0.5,0.3,20,20,1.0,0.9178500986193294,0.011949765405336512,0.9140089810250093,0.008762230183904587
0.5,0.3,20,30,0.5,0.9263477975016438,0.020676173451152288,0.9305766371811155,0.022819246648022946
0.5,0.3,20,30,0.8,0.9257478632478632,0.01413660779062118,0.926954907814582,0.01774673070344102
0.5,0.3,20,30,1.0,0.9135026298487837,0.019190900867254092,0.9149928933800311,0.019491666025023557
0.5,0.3,30,10,0.5,0.9230358316896778,0.011364692150306907,0.9288164423408111,0.013698040091346847
0.5,0.3,30,10,0.8,0.9198800131492441,0.022913898706852714,0.9205254801920069,0.022504154946356277
0.5,0.3,30,10,1.0,0.9108563445101907,0.01603513348563861,0.9070180988119848,0.016989401689424873
0.5,0.3,30,20,0.5,0.9160996055226824,0.021007810879338677,0.9143257883299697,0.03178670556882184
0.5,0.3,30,20,0.8,0.9075772518080211,0.011769491514505057,0.9035921050788216,0.02356410830710315
0.5,0.3,30,20,1.0,0.9150969756738986,0.01780448414000078,0.9026063631675963,0.028595637081839688
0.5,0.3,30,30,0.5,0.903887245233399,0.021697388674849237,0.9013824970538795,0.02059787719380209
0.5,0.3,30,30,0.8,0.9041091387245235,0.007062967609469872,0.8850520240140867,0.023617539524214144
0.5,0.3,30,30,1.0,0.9236275476660092,0.013563559233103054,0.9272004192760601,0.017679175700629362
0.5,0.5,10,10,0.5,0.9196827744904666,0.007138679821462414,0.915005959092802,0.004211656094050923
0.5,0.5,10,10,0.8,0.9120562130177514,0.020148132539231364,0.912355225964132,0.018742455052496436
0.5,0.5,10,10,1.0,0.9123602892833663,0.014298536901659427,0.9091306537589888,0.023760095103898687
0.5,0.5,10,20,0.5,0.930111768573307,0.02109346067005313,0.9315333794885342,0.02362145807659664
0.5,0.5,10,20,0.8,0.9092291255752795,0.022628187876203333,0.9091956116836265,0.024902747988887426
0.5,0.5,10,20,1.0,0.9168639053254438,0.005702288392474504,0.9175243569733904,0.006539768203713726
0.5,0.5,10,30,0.5,0.914275147928994,0.0230497762578427,0.9051568088628408,0.040756185502927665
0.5,0.5,10,30,0.8,0.9168474687705457,0.027123896522100205,0.9110004580688654,0.04135261941684682
0.5,0.5,10,30,1.0,0.899646614069691,0.02456981011742296,0.8929859237875519,0.026612992923647053
0.5,0.5,20,10,0.5,0.9230193951347797,0.016988962604738544,0.9226962081954936,0.02144513484809048
0.5,0.5,20,10,0.8,0.9277449046679814,0.016023124770847216,0.9293960391450253,0.018021366163435044
0.5,0.5,20,10,1.0,0.9186226166995398,0.023270188648760726,0.9221419395880572,0.019354243322411955
0.5,0.5,20,20,0.5,0.9109796186719263,0.013087890023224412,0.9064573269055727,0.02094429757245712
0.5,0.5,20,20,0.8,0.9178583168967785,0.025350688540168365,0.9108336762526783,0.03852282372703525
0.5,0.5,20,20,1.0,0.9272189349112427,0.011279279667569756,0.9307600632104925,0.014719305350874729
0.5,0.5,20,30,0.5,0.9238412228796845,0.006276827429052467,0.926378938948617,0.005217857684259709
0.5,0.5,20,30,0.8,0.9082100591715976,0.009221676355894859,0.9072801064678755,0.00826415388006049
0.5,0.5,20,30,1.0,0.9094099276791583,0.017159806609077816,0.9100084980497785,0.014887526679993457
0.5,0.5,30,10,0.5,0.9187376725838263,0.016614942555150038,0.9172005870081019,0.021444430302618705
0.5,0.5,30,10,0.8,0.91603385930309,0.016635336442543003,0.9148647925239756,0.010880737562734076
0.5,0.5,30,10,1.0,0.9120726495726494,0.018633508353609333,0.9136597981677784,0.01894616664545194
0.5,0.5,30,20,0.5,0.9208168967784353,0.011395079558026763,0.9159058077198232,0.022601802153006757
0.5,0.5,30,20,0.8,0.9165762656147273,0.015228213091545366,0.9181784438308569,0.01807317209339438
0.5,0.5,30,20,1.0,0.9095825115055884,0.01001276962029509,0.9071326763436905,0.0048315798218063356
0.5,0.5,30,30,0.5,0.9144888231426694,0.013731312811969248,0.9071547085163989,0.01962608661840422
0.5,0.5,30,30,0.8,0.9134944115713346,0.02432889696872642,0.9147817151288106,0.02497676882451307
0.5,0.5,30,30,1.0,0.9031065088757396,0.0122912025613675,0.8965524857909942,0.02074181425857707
0.5,0.7,10,10,0.5,0.9127301117685732,0.015053012998907808,0.9152017273192321,0.010256725239023903
0.5,0.7,10,10,0.8,0.9032873109796187,0.0143097792928199,0.8945419078105719,0.015951286032349223
0.5,0.7,10,10,1.0,0.9056706114398422,0.016967799618365514,0.9046151178104939,0.019207280307457653
0.5,0.7,10,20,0.5,0.9125986193293885,0.02474237962805517,0.9093255132172959,0.023636639927059926
0.5,0.7,10,20,0.8,0.9101824457593688,0.013138437579608692,0.9018190767741782,0.018056543430503145
0.5,0.7,10,20,1.0,0.9132478632478632,0.02744443766002844,0.9191083795650977,0.02720867496775347
0.5,0.7,10,30,0.5,0.9214003944773175,0.006885494338480043,0.9200990521491377,0.00874708555577532
0.5,0.7,10,30,0.8,0.9094428007889548,0.010501125705499345,0.911360894450884,0.013583508703972132
0.5,0.7,10,30,1.0,0.9066239316239317,0.015473831440399943,0.9043880255587906,0.014981015821398524
0.5,0.7,20,10,0.5,0.9134944115713346,0.012132510256784121,0.9070284710903895,0.018023209529923874
0.5,0.7,20,10,0.8,0.9109960552268245,0.012446661913966891,0.9112545031982741,0.008563110751998525
0.5,0.7,20,10,1.0,0.8992274819197895,0.015764031513264377,0.8896151745787844,0.02749693832782786
0.5,0.7,20,20,0.5,0.9204717291255753,0.012941728335711914,0.9198546104690447,0.016422931081452357
0.5,0.7,20,20,0.8,0.9084648257725181,0.016655847285808153,0.9037275341981692,0.0269135733481911
0.5,0.7,20,20,1.0,0.9122945430637739,0.009514359113026552,0.9096155027724816,0.012363082829129646
0.5,0.7,20,30,0.5,0.9143080210387904,0.011383029264279802,0.9121929444194338,0.008208173624489288
0.5,0.7,20,30,0.8,0.914809335963182,0.01084751607074123,0.912967389613814,0.012163307210051004
0.5,0.7,20,30,1.0,0.9007889546351084,0.017976204049633602,0.8943583555446157,0.0240167376051634
0.5,0.7,30,10,0.5,0.9108481262327416,0.01581946043752509,0.9022081376254795,0.013868793128753977
0.5,0.7,30,10,0.8,0.9159270216962525,0.020540301725100338,0.9066788551598763,0.03223318833915629
0.5,0.7,30,10,1.0,0.9095989480604866,0.012457211715638789,0.9162705098152489,0.011741536250077754
0.5,0.7,30,20,0.5,0.9078484549638395,0.01618530436959555,0.9025280917180101,0.016688595670601963
0.5,0.7,30,20,0.8,0.9298652202498356,0.013249265175111128,0.9243394407950161,0.023694659672550415
0.5,0.7,30,20,1.0,0.9061143984220907,0.00450968567892314,0.9020858620422656,0.008269082955421109
0.5,0.7,30,30,0.5,0.9136094674556213,0.009737171051236998,0.907298018687948,0.013217550285658554
0.5,0.7,30,30,0.8,0.9184335963182118,0.0177575468421145,0.913823283271905,0.020041990457551884
0.5,0.7,30,30,1.0,0.9117767915844839,0.015276604008824532,0.9090112691324632,0.013761720107156912
